Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1969,2.27596e-05,0.990747,2.60571e-05,0.174656,0.266902,0.3,4.8,9.9,67.2,205.7,53,1.92918e-05,0.986944,2.21371e-05,0.128512,0.414437,0.0,5.5,7.9,67.2,208.7,28,1.50017e-05,1.21468,1.81371e-05,0.120468,0.537255,0.0,5.4,14.6,58.9,200.9,100,1241691693
55606,1943,2.33923e-05,0.990961,2.65371e-05,0.48252,0.258636,0.6,5.5,8.9,65.7,209.4,49,1.85288e-05,0.986143,2.19886e-05,0.124369,0.423892,0.0,5.5,9.0,74.4,211.1,21,1.41245e-05,1.15331,1.64914e-05,0.127366,0.579545,0.0,5.7,14.1,59.9,204.6,100,1241691693
55608,1999,2.29195e-05,0.990873,2.56229e-05,0.303361,0.281972,0.4,6.2,8.0,63.3,199.8,51,2.00685e-05,0.985396,2.18857e-05,0.134417,0.407349,0.0,6.2,9.7,73.1,204.8,23,1.23427e-05,0.902225,1.456e-05,0.0886506,0.621662,0.0,3.9,15.3,57.4,208.5,100,1241691693
55610,1998,2.2675e-05,0.990819,2.63429e-05,0.155251,0.273842,0.2,4.4,9.1,65.9,207.5,45,2.01371e-05,0.98646,2.30286e-05,0.150789,0.381072,0.0,6.8,7.7,69.7,200.0,31,1.2265e-05,0.930626,1.55657e-05,0.102945,0.625272,0.0,5.6,14.1,61.2,205.2,100,1241691693
55612,1964,2.31182e-05,0.990937,2.48914e-05,0.124728,0.291723,0.1,4.1,7.9,64.0,201.6,48,2.10029e-05,0.983154,2.28343e-05,0.150675,0.395606,0.0,7.0,7.4,71.9,201.5,29,1.2265e-05,1.1651,1.38514e-05,0.105105,0.662163,0.0,5.5,14.0,61.8,205.7,100,1241691693
55614,1999,2.27961e-05,0.990935,2.68229e-05,0.163543,0.257434,0.1,4.6,9.8,63.9,211.7,45,1.90908e-05,0.982943,2.26171e-05,0.1574,0.366215,0.0,7.8,6.2,72.0,204.2,20,1.15911e-05,1.17616,1.30857e-05,0.0870628,0.684638,0.0,4.7,13.2,61.2,201.9,100,1241691693
55616,1977,2.37167e-05,0.990824,2.65143e-05,0.271899,0.257987,0.3,5.1,8.7,65.0,205.8,49,1.98926e-05,0.98315,2.18629e-05,0.140451,0.419213,0.0,7.0,8.4,71.9,204.3,27,1.25414e-05,1.12342,1.28914e-05,0.110235,0.70673,0.0,5.6,12.0,58.4,201.3,100,1241691693
55618,1983,2.35203e-05,0.990947,2.544e-05,0.45515,0.300814,0.5,4.9,8.7,64.8,197.6,48,2.01531e-05,0.982387,2.32e-05,0.13048,0.378619,0.0,6.7,8.2,70.1,202.7,22,1.102e-05,1.15912,1.23086e-05,0.106935,0.721134,0.0,5.3,12.7,57.2,205.9,100,1241691693
55620,1984,2.41165e-05,0.991014,2.57714e-05,0.234657,0.281736,0.3,3.9,7.9,62.0,207.5,51,2.00457e-05,0.984905,2.16914e-05,0.142485,0.412267,0.0,7.0,8.6,68.4,207.4,15,1.07619e-05,1.19129,1.36686e-05,0.115951,0.672797,0.0,5.9,12.6,56.3,205.3,100,1241691693
55622,1985,2.46191e-05,0.990957,2.70857e-05,0.372701,0.24007,0.5,5.6,8.1,65.9,206.7,46,2.02696e-05,0.984652,2.21029e-05,0.14356,0.408666,0.0,6.8,7.6,69.4,204.8,31,1.02067e-05,0.917112,1.304e-05,0.107476,0.701283,0.0,6.0,12.6,54.4,207.3,100,1241691693
55624,1973,2.33101e-05,0.990853,2.64343e-05,0.185657,0.260942,0.1,5.3,9.5,59.9,210.0,50,1.96573e-05,0.984091,2.33829e-05,0.115612,0.360949,0.0,5.7,9.0,72.3,205.8,23,1.06499e-05,1.1586,1.05143e-05,0.0986302,0.757987,0.0,5.8,13.2,53.5,204.6,100,1241691693
55626,1991,2.41508e-05,0.990999,2.552e-05,0.142473,0.279983,0.3,4.6,7.8,63.3,203.7,51,1.92827e-05,0.982644,2.07086e-05,0.135087,0.440468,0.0,7.3,7.5,69.5,200.5,32,9.42319e-06,0.87046,1.14743e-05,0.110849,0.74029,0.0,7.0,12.4,55.0,205.0,100,1241691693
55628,1949,2.37807e-05,0.990963,2.63543e-05,0.352384,0.258551,0.6,4.7,8.0,65.0,209.2,45,1.90268e-05,0.982045,2.31886e-05,0.141745,0.369823,0.0,6.2,8.5,67.9,208.0,16,1.11479e-05,1.12209,1.16e-05,0.107431,0.746746,0.0,6.0,12.2,51.8,210.5,100,1241691693
55630,1992,2.36025e-05,0.990683,2.58971e-05,0.152604,0.26757,0.1,5.4,9.2,62.7,200.4,50,1.99954e-05,0.980087,2.35429e-05,0.148222,0.332867,0.0,6.2,9.8,66.1,206.1,27,9.72701e-06,0.910622,1.11657e-05,0.122659,0.748692,0.0,5.3,11.8,54.0,204.7,100,1241691693
55632,1963,2.31913e-05,0.990833,2.59771e-05,0.182119,0.257412,0.4,4.8,7.9,63.1,204.0,49,1.89423e-05,0.973895,2.06857e-05,0.149453,0.433277,0.0,8.5,9.7,66.9,209.4,18,8.4843e-06,1.17529,9.78286e-06,0.0959673,0.762574,0.0,5.3,11.3,52.4,204.9,100,1241691693
55634,1987,2.37487e-05,0.990641,2.64686e-05,0.187196,0.265204,0.3,5.8,8.5,63.3,208.2,46,1.8675e-05,0.973523,2.27543e-05,0.127109,0.369582,0.0,6.3,8.1,67.0,212.0,26,8.71274e-06,1.18895,1.10057e-05,0.10582,0.73556,0.0,6.4,10.8,56.2,204.8,100,1241691693
55636,2009,2.21245e-05,0.990713,2.53143e-05,0.248181,0.295956,0.3,3.7,9.2,65.5,209.7,50,1.87687e-05,0.971056,2.20343e-05,0.160889,0.399897,0.0,8.2,10.0,68.6,208.4,27,8.12336e-06,1.1755,1.02629e-05,0.109208,0.744213,0.0,6.5,10.4,55.3,208.7,100,1241691693
55638,1996,2.43267e-05,0.990871,2.69829e-05,0.284887,0.262441,0.2,6.0,7.7,65.2,213.8,56,1.87207e-05,0.97017,2.23543e-05,0.134936,0.381951,0.1,7.5,10.1,63.8,209.4,24,7.88806e-06,1.1236,9.24571e-06,0.0838878,0.790334,0.0,5.3,10.1,53.5,206.6,100,1241691693
55640,1970,2.3317e-05,0.990981,2.63543e-05,0.351331,0.288785,0.4,4.7,6.8,65.7,208.4,50,1.83301e-05,0.967142,2.11543e-05,0.10493,0.419542,0.0,6.9,9.2,64.6,205.8,29,6.87379e-06,0.922676,8.93714e-06,0.0928311,0.784206,0.0,4.6,11.1,50.6,208.6,100,1241691693
55642,2003,2.33969e-05,0.990965,2.60229e-05,0.180094,0.281689,0.2,5.5,8.1,62.0,207.5,44,1.81017e-05,0.95953,2.112e-05,0.125851,0.422,0.1,8.0,9.1,65.3,213.0,26,7.24158e-06,0.876445,8.68571e-06,0.0803984,0.799096,0.0,4.7,11.6,54.8,209.3,100,1241691693
55644,1969,2.32484e-05,0.99105,2.63086e-05,0.248005,0.260259,0.4,4.2,9.9,68.5,207.3,45,1.90314e-05,0.963082,2.06514e-05,0.155345,0.472006,0.0,9.5,11.0,63.1,209.1,21,6.10166e-06,1.1528,9.25714e-06,0.090904,0.818407,0.0,5.1,11.6,52.3,206.3,100,1241691693
55646,1977,2.29469e-05,0.991006,2.55543e-05,0.138769,0.285777,0.2,4.5,7.4,67.4,209.0,48,1.94289e-05,0.963867,2.104e-05,0.145994,0.423321,0.0,8.7,9.8,66.0,207.6,22,6.58824e-06,1.16678,7.90857e-06,0.0757915,0.838937,0.0,5.0,11.9,53.9,202.6,100,1241691693
55648,1971,2.35363e-05,0.991067,2.648e-05,0.191124,0.270128,0.3,5.4,9.2,61.6,206.3,47,1.87619e-05,0.965266,2.02743e-05,0.140168,0.450493,0.0,8.3,9.4,62.7,211.9,21,6.68418e-06,1.14583,7.61143e-06,0.0760769,0.826519,0.0,4.9,11.3,54.5,205.5,100,1241691693
55650,2004,2.29743e-05,0.99104,2.57371e-05,0.196958,0.276502,0.4,6.2,9.4,66.0,205.1,49,1.84946e-05,0.961816,2.05257e-05,0.126154,0.450245,0.0,8.9,9.5,62.5,209.6,30,4.34266e-06,0.915482,6.86857e-06,0.0575649,0.85674,0.0,3.9,11.7,55.8,204.1,100,1241691693
55652,1976,2.36231e-05,0.990814,2.616e-05,0.265954,0.261951,0.3,5.0,9.1,63.5,211.3,52,1.8056e-05,0.963849,2.13143e-05,0.18159,0.440442,0.1,8.2,11.0,62.9,209.6,30,5.68589e-06,0.906349,6.62857e-06,0.052836,0.854222,0.0,4.6,10.8,57.9,203.5,100,1241691693
55654,1988,2.38721e-05,0.990956,2.58514e-05,0.163254,0.263165,0.0,5.8,6.9,67.7,209.4,46,1.73866e-05,0.966098,2.13486e-05,0.168507,0.43797,0.1,7.3,9.1,66.1,213.5,26,6.18846e-06,0.904715,6.10286e-06,0.0592072,0.883244,0.0,4.8,10.9,53.8,207.9,100,1241691693
55656,1955,2.39726e-05,0.991006,2.56571e-05,0.204285,0.291229,0.6,5.8,8.7,61.3,208.8,53,1.83941e-05,0.967941,2.03429e-05,0.134141,0.467551,0.0,7.4,9.9,59.6,218.6,29,6.50371e-06,1.17583,6.82286e-06,0.171045,0.86231,0.1,3.9,12.1,52.8,208.3,100,1241691693
55658,2021,2.30771e-05,0.991084,2.57943e-05,0.158859,0.250582,0.3,5.1,9.8,66.4,197.8,45,1.78161e-05,0.972164,2.16457e-05,0.157401,0.437186,0.0,7.5,9.5,62.1,212.8,24,6.04683e-06,1.16867,6.09143e-06,0.0703216,0.883296,0.0,3.6,11.1,53.3,207.1,100,1241691693
55660,1981,2.26591e-05,0.990946,2.544e-05,0.414854,0.275073,0.6,5.8,7.6,68.5,199.5,47,1.79166e-05,0.97235,2.056e-05,0.140063,0.443964,0.0,6.8,8.9,65.3,216.0,42,4.32439e-06,0.858242,6.58286e-06,0.158923,0.877008,0.1,3.9,11.4,52.1,208.9,100,1241691693
55662,1960,2.32987e-05,0.99086,2.63086e-05,0.140119,0.286142,0.1,4.2,9.0,66.3,206.7,43,1.84032e-05,0.97017,2.05714e-05,0.143456,0.478802,0.0,6.3,10.2,62.0,217.0,26,4.50942e-06,0.921877,5.89714e-06,0.0804818,0.888956,0.0,4.5,11.9,52.9,209.5,100,1241691693
55664,1996,2.35842e-05,0.990923,2.632e-05,0.33263,0.276379,0.4,3.4,7.3,65.1,205.7,50,1.85517e-05,0.971841,2.04457e-05,0.177147,0.447149,0.2,8.1,9.5,64.1,215.2,23,5.22216e-06,1.13048,5.81714e-06,0.0567321,0.89706,0.0,2.9,11.5,53.1,210.9,100,1241691693
55666,1991,2.38789e-05,0.990896,2.58514e-05,0.137486,0.28567,0.2,4.4,8.5,61.4,201.4,54,1.76562e-05,0.972073,1.96571e-05,0.16685,0.48061,0.1,7.8,10.6,64.4,223.3,24,4.82467e-06,1.18301,5.34857e-06,0.0589083,0.898383,0.0,2.9,12.0,52.9,209.7,100,1241691693
55668,2001,2.34312e-05,0.990983,2.552e-05,0.263106,0.289285,0.3,5.6,8.3,68.3,204.9,52,1.78184e-05,0.974049,2.10171e-05,0.134145,0.442544,0.0,6.5,9.9,66.5,217.3,27,4.20331e-06,1.20763,5.47429e-06,0.0485378,0.898669,0.0,2.7,11.5,52.9,211.7,100,1241691693
55670,2012,2.34038e-05,0.991093,2.60571e-05,0.454736,0.266369,0.6,5.4,8.3,67.0,208.3,43,1.70326e-05,0.968459,1.91429e-05,0.150225,0.495706,0.2,6.4,9.4,63.9,219.2,19,4.58709e-06,1.18912,5.65714e-06,0.0586844,0.896204,0.0,2.7,11.8,53.5,211.3,100,1241691693
55672,2001,2.43472e-05,0.991127,2.53029e-05,0.163954,0.281861,0.3,4.5,6.9,67.7,200.3,46,1.68521e-05,0.968037,1.96686e-05,0.138913,0.485039,0.2,6.2,10.1,61.8,217.7,19,4.76299e-06,1.13345,4.97143e-06,0.0564122,0.914961,0.0,2.9,11.5,53.5,210.6,100,1241691693
55674,2015,2.31571e-05,0.991234,2.48114e-05,0.252561,0.29863,0.4,4.6,8.0,62.0,199.7,49,1.74141e-05,0.968738,1.816e-05,0.174899,0.527315,0.3,7.2,9.4,61.7,217.9,26,4.98458e-06,0.903433,4.19429e-06,0.0723006,0.923285,0.0,4.6,11.1,54.3,211.7,100,1241691693
55676,2032,2.42262e-05,0.990979,2.55886e-05,0.198842,0.281616,0.6,5.2,8.6,64.3,203.7,52,1.72564e-05,0.972164,1.85371e-05,0.171052,0.519652,0.1,7.8,8.9,63.6,213.6,30,3.98858e-06,0.870645,4.96e-06,0.0607739,0.904633,0.0,3.7,11.3,53.8,209.4,100,1241691693
55678,1996,2.28418e-05,0.991038,2.61029e-05,0.273899,0.252032,0.4,4.4,8.9,67.3,202.1,52,1.70394e-05,0.968627,1.97829e-05,0.183811,0.471797,0.3,6.7,9.7,63.5,218.5,27,4.42718e-06,0.855643,4.21714e-06,0.0913302,0.932815,0.0,4.6,11.0,53.7,209.1,100,1241691693
55680,1974,2.38744e-05,0.991066,2.56571e-05,0.313037,0.301153,0.7,6.3,8.4,64.3,200.4,47,1.62627e-05,0.968429,2.04343e-05,0.155455,0.462393,0.1,6.7,8.0,63.7,215.9,28,3.72359e-06,0.874627,4.61714e-06,0.0698722,0.909723,0.0,2.8,11.3,52.6,207.3,100,1241691693
