Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,2015,2.50006e-05,0.990178,2.79543e-05,0.170186,0.262515,0.2,4.1,11.8,67.1,214.5,48,2.11422e-05,0.981072,2.40343e-05,0.171392,0.371148,0.4,3.3,10.5,70.8,213.5,23,1.4771e-05,0.834065,1.744e-05,0.165243,0.554402,1.1,3.6,9.6,62.6,212.6,100,4292535773
55606,1977,2.59303e-05,0.990137,2.81943e-05,0.161261,0.2687,0.3,3.8,10.3,68.1,217.6,52,2.31182e-05,0.985258,2.32571e-05,0.136261,0.392392,0.4,2.3,10.4,68.6,216.2,21,1.44991e-05,0.828095,1.64457e-05,0.137497,0.588233,1.8,4.7,7.9,59.2,220.2,100,4292535773
55608,1974,2.55991e-05,0.990425,2.75314e-05,0.0951986,0.25047,0.2,2.9,10.2,69.0,215.9,49,2.14689e-05,0.983955,2.61371e-05,0.253901,0.301565,0.7,4.2,11.6,69.6,214.6,26,1.48852e-05,0.846268,1.61143e-05,0.180203,0.590219,1.6,4.8,9.1,56.2,208.8,100,4292535773
55610,1969,2.48658e-05,0.990296,2.74743e-05,0.210273,0.266869,0.1,3.6,10.8,70.1,217.2,44,2.19258e-05,0.982276,2.37257e-05,0.241904,0.384202,0.9,3.1,11.3,69.6,223.3,23,1.2169e-05,0.835623,1.45943e-05,0.180858,0.65042,1.8,4.7,9.9,56.2,213.1,100,4292535773
55612,1977,2.56927e-05,0.990327,2.88114e-05,0.108669,0.228654,0.2,3.9,10.1,70.5,220.8,46,2.29058e-05,0.981555,2.45943e-05,0.329543,0.364355,0.8,4.1,10.2,67.1,223.1,22,1.26556e-05,0.810683,1.36457e-05,0.168385,0.672867,1.7,4.9,11.5,56.6,210.4,100,4292535773
55614,2001,2.57156e-05,0.990334,2.84343e-05,0.167498,0.272716,0.4,3.8,9.3,67.2,220.0,46,2.17476e-05,0.979084,2.36686e-05,0.304247,0.378217,0.8,2.8,10.0,70.0,214.9,23,1.18104e-05,0.834937,1.48343e-05,0.159384,0.624634,1.6,4.0,11.4,55.5,212.9,100,4292535773
55616,1994,2.50348e-05,0.990306,2.85829e-05,0.212648,0.255416,0.2,3.3,9.8,69.8,221.0,46,2.0811e-05,0.97709,2.48e-05,0.416457,0.362808,0.9,3.7,9.6,68.3,218.0,19,1.19178e-05,0.819348,1.392e-05,0.211391,0.674835,1.7,5.6,11.4,57.7,215.1,100,4292535773
55618,1976,2.56745e-05,0.990294,2.87086e-05,0.210449,0.243566,0.6,5.2,11.8,70.3,219.5,43,2.01576e-05,0.98194,2.32e-05,0.377324,0.402212,0.6,3.8,9.9,69.0,215.4,26,1.14266e-05,0.820284,1.33829e-05,0.236119,0.670347,1.8,4.8,11.7,57.7,216.2,100,4292535773
55620,2011,2.51376e-05,0.99026,2.864e-05,0.341777,0.224,0.3,4.7,10.1,70.6,219.8,50,2.04432e-05,0.979514,2.37829e-05,0.20915,0.387032,0.2,2.9,8.9,70.1,221.1,24,9.48944e-06,0.858353,1.41714e-05,0.206802,0.670434,1.9,4.7,10.9,56.6,221.9,100,4292535773
55622,2015,2.54118e-05,0.990318,2.752e-05,0.146121,0.272953,0.2,3.4,10.6,68.5,210.6,51,2.0418e-05,0.983117,2.24914e-05,0.273785,0.401604,0.5,3.5,9.1,67.6,215.9,26,9.03484e-06,0.83714,1.03086e-05,0.141513,0.758516,1.3,4.9,13.8,56.7,218.6,100,4292535773
55624,1989,2.45734e-05,0.990325,2.72686e-05,0.169856,0.247589,0.4,3.5,12.7,69.1,215.7,49,2.13775e-05,0.980946,2.344e-05,0.284672,0.397032,0.7,3.4,9.1,68.1,217.7,31,9.66077e-06,0.83112,1.09714e-05,0.120093,0.740062,0.7,3.5,13.5,56.6,216.9,100,4292535773
55626,1969,2.51491e-05,0.990349,2.872e-05,0.372889,0.244936,0.6,4.4,9.3,68.3,222.2,46,2.11651e-05,0.98573,2.28114e-05,0.126974,0.408366,0.3,2.4,9.8,63.9,215.5,23,9.3044e-06,0.888818,1.07771e-05,0.0668597,0.751594,0.4,3.9,13.7,54.9,221.8,100,4292535773
55628,1991,2.53592e-05,0.99045,2.76686e-05,0.139802,0.257775,0.3,3.9,8.7,69.2,218.7,51,1.97053e-05,0.981222,2.28e-05,0.373298,0.411433,0.6,3.7,9.6,68.3,218.1,17,1.04375e-05,1.13188,1.13943e-05,0.121992,0.733037,1.0,4.3,15.0,54.3,227.7,100,4292535773
55630,1978,2.48635e-05,0.99053,2.76343e-05,0.122795,0.283243,0.1,2.9,11.1,67.4,214.7,51,2.03061e-05,0.982025,2.32e-05,0.235578,0.411713,0.2,3.5,8.9,67.6,215.2,22,9.98744e-06,1.15146,1.16114e-05,0.134854,0.733135,1.1,4.2,13.4,54.3,223.4,100,4292535773
55632,1964,2.51079e-05,0.990448,2.80114e-05,0.263815,0.272818,0.3,4.4,10.7,67.7,218.4,52,2.12176e-05,0.980428,2.39429e-05,0.153028,0.393389,0.2,2.9,9.4,67.4,215.0,24,8.36779e-06,0.88434,9.92e-06,0.0849372,0.755039,0.3,3.4,12.9,56.5,229.7,100,4292535773
55634,1970,2.5727e-05,0.990469,2.83657e-05,0.254925,0.241593,0.3,5.5,10.8,70.5,215.8,48,2.0779e-05,0.978086,2.22857e-05,0.220849,0.431218,0.7,3.3,9.1,69.1,212.3,25,8.34495e-06,0.845231,1.01829e-05,0.072707,0.741545,0.2,2.4,12.1,54.0,226.0,100,4292535773
55636,1984,2.51696e-05,0.990477,2.77371e-05,0.207922,0.239997,0.2,3.0,9.1,70.8,213.1,46,2.07379e-05,0.982236,2.15657e-05,0.286528,0.453974,0.7,3.5,9.6,66.8,211.3,22,1.41176e-05,0.84828,1.76114e-05,0.0848228,0.532258,0.1,2.1,11.5,60.5,225.6,100,4292535773
55638,1981,2.43678e-05,0.990406,2.75543e-05,0.12785,0.278736,0.3,3.7,9.6,73.3,210.1,47,1.94792e-05,0.988088,2.25486e-05,0.154939,0.427078,0.3,3.1,7.9,68.0,210.0,28,1.38275e-05,0.846588,1.56229e-05,0.0766208,0.621971,0.1,2.4,12.2,60.2,225.9,100,4292535773
55640,1979,2.4795e-05,0.990215,2.72686e-05,0.183451,0.2651,0.4,4.6,10.1,69.5,211.2,52,1.88304e-05,0.987254,2.06514e-05,0.27377,0.501994,0.6,3.1,10.7,66.1,212.6,30,1.34163e-05,1.2334,1.23429e-05,0.0315561,0.68118,0.0,0.8,12.8,59.4,224.5,100,4292535773
55642,1965,2.46008e-05,0.990306,2.84686e-05,0.195844,0.248135,0.5,4.9,11.9,68.5,214.2,51,1.79943e-05,0.98291,2.096e-05,0.159265,0.46128,0.5,2.6,8.5,67.3,212.3,21,1.51251e-05,1.09506,1.20914e-05,0.0407523,0.705289,0.0,0.9,11.5,60.6,223.4,100,4292535773
55644,1969,2.52153e-05,0.99021,2.85486e-05,0.149566,0.251576,0.2,4.6,11.5,68.8,217.4,49,1.93604e-05,0.984821,2.19657e-05,0.110916,0.420859,0.2,2.1,10.0,72.6,209.9,27,1.28064e-05,0.895236,1.15771e-05,0.0339743,0.708466,0.0,0.7,11.4,61.3,226.0,100,4292535773
55646,1945,2.55077e-05,0.990402,2.864e-05,0.35922,0.243158,0.4,3.4,11.7,70.9,220.9,51,1.9751e-05,0.98682,2.152e-05,0.136834,0.442725,0.4,2.5,8.8,67.7,213.8,23,1.06979e-05,1.15708,1.26971e-05,0.0499599,0.688204,0.0,1.1,12.8,61.0,223.1,100,4292535773
55648,1966,2.45734e-05,0.99047,2.76229e-05,0.207409,0.261169,0.2,3.5,8.7,71.0,216.5,47,2.01713e-05,0.984952,2.12343e-05,0.1131,0.446711,0.3,1.9,8.4,68.1,211.0,27,1.01496e-05,0.925535,1.38857e-05,0.0381608,0.641759,0.0,0.9,15.3,62.0,231.9,100,4292535773
55650,2025,2.4948e-05,0.990248,2.74971e-05,0.238813,0.258877,0.5,3.2,12.2,67.0,213.0,51,1.93627e-05,0.987919,2.09714e-05,0.199868,0.469354,0.3,2.0,9.4,65.0,215.2,29,1.20069e-05,1.17892,1.28e-05,0.0372986,0.699887,0.0,0.8,13.9,62.0,227.9,100,4292535773
55652,1976,2.58367e-05,0.990501,2.77257e-05,0.259921,0.24606,0.5,3.7,9.8,68.6,215.6,53,1.74415e-05,0.984769,2.15086e-05,0.142403,0.440041,0.5,2.3,7.5,68.1,213.7,24,9.26328e-06,0.94851,1.07429e-05,0.0435453,0.758162,0.0,2.2,14.6,58.6,237.3,100,4292535773
55654,1952,2.54003e-05,0.990468,2.79886e-05,0.21041,0.27374,0.5,4.9,9.8,72.0,217.5,46,1.98469e-05,0.985134,2.136e-05,0.112955,0.450223,0.4,2.1,9.8,69.5,214.7,28,8.63507e-06,1.14487,1.11886e-05,0.0372884,0.731564,0.0,1.3,13.4,61.5,228.7,100,4292535773
55656,1966,2.56516e-05,0.990505,2.77257e-05,0.143085,0.27087,0.3,4.3,10.4,72.0,207.3,45,1.9237e-05,0.988541,2.136e-05,0.147312,0.447834,0.5,2.3,9.1,66.7,212.0,17,1.82593e-05,0.869871,2.01486e-05,0.136993,0.440629,0.2,3.4,12.8,61.7,219.1,100,4292535773
