Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1969,2.25814e-05,0.991387,2.45029e-05,0.188111,0.303984,0.3,4.8,8.1,59.6,192.0,54,1.77704e-05,0.983331,2.14971e-05,0.164198,0.415495,0.3,3.6,7.5,64.9,178.9,27,1.60937e-05,0.848485,1.79086e-05,0.128459,0.524322,0.1,4.0,12.2,61.2,185.3,100,1541733127
55606,2018,2.20011e-05,0.991244,2.528e-05,0.193703,0.302096,0.3,4.7,9.1,65.2,190.3,48,1.8771e-05,0.98677,2.00571e-05,0.147331,0.453642,0.3,3.0,9.0,64.6,182.0,17,1.49149e-05,0.861912,1.85943e-05,0.121695,0.540686,0.0,4.0,11.7,66.6,185.2,100,1541733127
55608,1999,2.2273e-05,0.991225,2.50514e-05,0.150583,0.299549,0.1,3.8,9.3,61.8,187.4,51,1.82204e-05,0.984726,2.12457e-05,0.135458,0.426125,0.4,3.1,8.3,66.1,182.5,21,1.39623e-05,0.848536,1.44457e-05,0.0802591,0.642159,0.0,3.5,11.4,70.4,181.5,100,1541733127
55610,1984,2.18458e-05,0.991301,2.472e-05,0.161139,0.291134,0.2,4.2,7.0,61.7,193.9,43,1.80445e-05,0.98593,2.032e-05,0.134466,0.462895,0.2,3.1,8.8,68.9,180.6,19,1.34826e-05,0.849703,1.69486e-05,0.0899575,0.572154,0.0,2.9,11.5,65.6,182.8,100,1541733127
55612,1988,2.25791e-05,0.991409,2.50743e-05,0.194614,0.291162,0.2,4.7,8.4,64.6,186.6,54,1.92164e-05,0.985874,2.128e-05,0.138591,0.438594,0.2,3.1,9.0,70.0,186.5,30,1.43941e-05,0.862476,1.50171e-05,0.0865768,0.635923,0.0,3.6,10.8,66.1,179.9,100,1541733127
55614,1926,2.26956e-05,0.991207,2.52e-05,0.204011,0.279021,0.2,2.6,7.2,62.0,190.6,47,1.80331e-05,0.9823,2.22743e-05,0.169755,0.385923,0.5,3.1,9.6,67.8,181.6,32,1.23152e-05,0.847607,1.54057e-05,0.0853904,0.620246,0.0,4.0,10.1,65.5,180.9,100,1541733127
55616,1968,2.24809e-05,0.991213,2.44686e-05,0.157462,0.314672,0.1,4.6,7.7,63.5,186.6,42,1.82981e-05,0.978174,2.05257e-05,0.0991562,0.463702,0.3,2.8,9.0,69.8,176.0,26,1.23906e-05,0.841431,1.30171e-05,0.0528825,0.688507,0.0,3.4,11.3,68.4,183.1,100,1541733127
55618,1982,2.22387e-05,0.991092,2.448e-05,0.203432,0.295536,0.5,3.9,8.7,57.5,187.1,45,1.83461e-05,0.983257,2.048e-05,0.102116,0.457153,0.2,3.0,8.3,69.9,181.5,35,1.08898e-05,0.837316,1.34171e-05,0.0856314,0.694675,0.0,3.2,11.6,67.5,189.7,100,1541733127
55620,1985,2.28852e-05,0.991345,2.48114e-05,0.176309,0.2897,0.3,4.4,8.6,63.7,190.8,54,1.71856e-05,0.982418,2.14857e-05,0.13109,0.421913,0.5,2.8,8.7,72.5,186.7,25,1.16939e-05,0.832798,1.33829e-05,0.0923698,0.690474,0.0,3.5,11.9,70.0,193.7,100,1541733127
55622,2002,2.27025e-05,0.991262,2.39657e-05,0.192592,0.323752,0.3,3.9,7.5,59.9,185.5,53,1.88418e-05,0.97989,2.10514e-05,0.126805,0.427535,0.2,2.7,8.8,69.7,184.5,25,1.20891e-05,0.837627,1.34171e-05,0.0730243,0.681324,0.0,3.7,11.6,67.0,188.2,100,1541733127
55624,1980,2.16631e-05,0.991205,2.52343e-05,0.151137,0.294627,0.1,4.6,9.1,62.6,183.9,49,1.78527e-05,0.982374,1.93257e-05,0.113206,0.505363,0.3,2.2,8.8,70.1,178.4,26,1.14951e-05,0.84039,1.32e-05,0.0445837,0.683844,0.0,2.6,12.2,67.9,187.0,100,1541733127
55626,1981,2.26682e-05,0.991446,2.49943e-05,0.188056,0.290814,0.3,4.4,8.5,63.5,185.8,52,1.78024e-05,0.982095,1.92457e-05,0.118121,0.500759,0.2,3.2,9.8,68.3,180.6,27,1.10474e-05,0.836713,1.21829e-05,0.050759,0.711683,0.0,3.1,12.3,65.5,182.1,100,1541733127
55628,1954,2.21017e-05,0.991289,2.38629e-05,0.178064,0.306564,0.5,4.0,7.2,60.2,187.7,54,1.77864e-05,0.982053,1.88229e-05,0.0920065,0.498457,0.4,2.5,9.2,68.4,185.1,31,1.0988e-05,0.861965,1.22857e-05,0.0551635,0.716464,0.0,2.1,13.3,67.0,187.9,100,1541733127
55630,1964,2.21359e-05,0.991287,2.41371e-05,0.146515,0.316996,0.1,3.8,7.9,60.2,188.2,44,1.73638e-05,0.985365,1.85371e-05,0.108659,0.512783,0.3,2.3,8.6,70.7,178.8,25,9.81839e-06,0.875796,1.104e-05,0.0977547,0.739553,0.1,2.5,13.8,67.7,194.7,100,1541733127
55632,1983,2.16836e-05,0.991391,2.39314e-05,0.170195,0.316196,0.1,4.1,9.3,60.1,183.5,48,1.82159e-05,0.983216,1.95543e-05,0.144292,0.482878,0.4,3.1,8.3,67.4,179.7,26,8.46374e-06,1.12772,1.13029e-05,0.0524444,0.733206,0.0,3.2,12.2,64.3,179.0,100,1541733127
55634,1960,2.2321e-05,0.991211,2.46057e-05,0.253208,0.274465,0.2,3.8,8.4,61.2,186.8,50,1.73661e-05,0.980969,1.79429e-05,0.111694,0.532816,0.4,2.2,8.4,66.8,179.8,21,9.15134e-06,1.19812,9.86286e-06,0.0604211,0.772034,0.0,2.9,12.5,64.4,175.5,100,1541733127
55636,2018,2.24283e-05,0.991246,2.41486e-05,0.181686,0.349412,0.3,4.6,8.4,57.8,181.4,44,1.68087e-05,0.9806,1.92914e-05,0.104926,0.479798,0.4,2.3,7.8,66.3,182.6,28,2.00388e-05,0.88674,2.19429e-05,0.140044,0.40629,0.1,3.3,9.9,63.3,185.7,100,1541733127
55638,2009,2.21428e-05,0.991276,2.45143e-05,0.186717,0.315865,0.3,4.3,10.8,63.8,177.2,45,1.75671e-05,0.981086,2.032e-05,0.131013,0.477571,0.7,3.2,8.1,69.1,181.3,20,1.75625e-05,0.88381,2.21257e-05,0.146632,0.439193,0.0,3.7,8.0,60.5,191.5,100,1541733127
55640,2017,2.25563e-05,0.991191,2.41257e-05,0.195373,0.32032,0.2,5.2,7.7,63.1,180.1,51,1.77019e-05,0.978889,1.984e-05,0.13326,0.492492,0.5,2.7,7.2,69.0,178.6,26,1.93489e-05,0.848283,1.952e-05,0.135763,0.474979,0.1,3.9,9.4,60.7,192.7,100,1541733127
55642,1986,2.24032e-05,0.991309,2.432e-05,0.173343,0.297978,0.1,4.9,7.7,60.5,186.7,45,1.74209e-05,0.979568,1.864e-05,0.0617369,0.532933,0.4,2.1,9.1,66.3,179.4,28,1.73021e-05,0.826623,2.03314e-05,0.117998,0.477914,0.0,5.5,7.2,59.9,200.3,100,1541733127
55644,1932,2.23027e-05,0.991364,2.528e-05,0.14717,0.307624,0.2,4.0,7.4,58.4,192.2,45,1.62833e-05,0.982613,2.0e-05,0.100407,0.482071,0.3,2.1,8.8,70.5,177.7,29,1.70166e-05,0.827279,1.84457e-05,0.133391,0.541122,0.0,5.2,7.2,63.4,203.6,100,1541733127
55646,1995,2.19806e-05,0.991443,2.50857e-05,0.236861,0.300477,0.5,5.0,8.4,62.7,185.7,49,1.56345e-05,0.980095,1.83429e-05,0.0985148,0.535843,0.4,1.9,7.9,68.0,178.4,22,1.60457e-05,0.820951,1.90514e-05,0.132613,0.519541,0.0,4.4,7.1,63.1,201.1,100,1541733127
55648,1986,2.26431e-05,0.991364,2.42286e-05,0.145328,0.313686,0.2,3.3,8.0,64.5,181.4,55,1.64386e-05,0.977766,1.85829e-05,0.119245,0.509555,0.4,2.4,8.2,66.9,180.2,29,1.46088e-05,0.824353,1.71429e-05,0.112338,0.573096,0.0,4.2,6.1,61.0,205.0,100,1541733127
55650,1983,2.24694e-05,0.991469,2.48114e-05,0.17477,0.303791,0.2,4.8,9.7,61.4,188.7,54,1.62399e-05,0.977408,1.87086e-05,0.121576,0.517675,0.5,2.1,8.1,70.1,178.5,38,1.36585e-05,0.812186,1.69714e-05,0.112923,0.5914,0.0,6.0,6.9,67.4,201.7,100,1541733127
55652,1993,2.16836e-05,0.991385,2.47543e-05,0.267219,0.298931,0.2,5.1,8.0,65.4,184.4,57,1.79395e-05,0.978396,1.856e-05,0.109187,0.525664,0.7,1.8,8.6,71.5,184.1,29,1.27013e-05,0.798627,1.36114e-05,0.112061,0.669581,0.0,6.0,6.6,60.6,196.0,100,1541733127
55654,2027,2.27276e-05,0.991383,2.43657e-05,0.185652,0.30846,0.4,3.6,7.1,59.4,186.8,46,1.7076e-05,0.977399,1.77486e-05,0.0891117,0.550694,0.7,2.0,7.6,71.4,173.9,28,1.20982e-05,0.802041,1.46743e-05,0.0850654,0.651398,0.0,5.0,5.7,63.9,199.8,100,1541733127
