Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,2009,2.57133e-05,0.989702,2.90171e-05,0.153494,0.236728,0.1,5.5,12.2,79.8,209.8,49,2.14552e-05,0.972341,2.55086e-05,0.160487,0.327621,0.3,4.8,12.0,77.7,212.4,30,1.09218e-05,1.16975,1.27429e-05,0.110191,0.705947,0.0,4.6,11.1,73.2,210.7,100,4121853297
55606,1944,2.59874e-05,0.989843,2.97257e-05,0.183145,0.217886,0.2,5.4,12.5,79.7,203.9,53,2.20605e-05,0.973408,2.28571e-05,0.124063,0.408993,0.1,5.2,10.9,79.7,213.5,16,1.16551e-05,1.18355,1.2e-05,0.0730533,0.73567,0.0,3.7,11.4,74.5,212.1,100,4121853297
55608,1997,2.56631e-05,0.989864,2.856e-05,0.20154,0.238137,0.3,5.2,12.3,80.4,208.4,51,2.20697e-05,0.97428,2.35771e-05,0.114806,0.388263,0.2,3.4,10.5,73.7,213.6,23,1.06682e-05,1.15582,1.22514e-05,0.0749136,0.729972,0.0,3.4,11.2,75.1,210.3,100,4121853297
55610,1972,2.56745e-05,0.989728,3.00457e-05,0.191293,0.235253,0.1,5.4,13.0,79.7,205.8,47,1.99909e-05,0.97272,2.272e-05,0.0950791,0.423587,0.0,4.4,9.4,76.3,215.1,18,1.12005e-05,1.18033,1.18629e-05,0.0292227,0.746169,0.0,2.6,11.6,74.0,210.4,100,4121853297
55612,1980,2.65311e-05,0.989596,2.86743e-05,0.234379,0.237761,0.3,5.9,12.8,82.5,207.6,44,2.01439e-05,0.9739,2.23543e-05,0.133623,0.440079,0.2,4.4,11.1,78.4,212.0,18,1.09537e-05,1.20112,1.21029e-05,0.0461931,0.733561,0.0,2.7,10.9,74.2,209.7,100,4121853297
55614,1956,2.61656e-05,0.989638,2.94286e-05,0.148477,0.238313,0.2,4.1,12.1,80.0,200.2,46,2.04455e-05,0.972683,2.43543e-05,0.232754,0.386541,0.6,4.5,12.4,75.7,206.5,29,9.74072e-06,0.894212,1.152e-05,0.0399226,0.756388,0.0,2.6,10.9,72.4,214.1,100,4121853297
55616,1974,2.53706e-05,0.989456,2.90286e-05,0.24333,0.237805,0.1,5.2,13.1,83.2,206.2,46,1.9799e-05,0.97632,2.13143e-05,0.107885,0.47586,0.1,3.7,10.3,73.7,209.7,22,7.40149e-06,0.865629,1.048e-05,0.0869913,0.785962,0.0,3.9,11.0,74.7,205.3,100,4121853297
55618,2005,2.51582e-05,0.989412,2.816e-05,0.17437,0.26205,0.0,6.1,11.8,80.2,200.9,51,2.07698e-05,0.978333,2.34514e-05,0.135668,0.400506,0.2,4.1,12.3,76.1,207.6,27,8.19418e-06,0.846487,9.76e-06,0.112339,0.789345,0.0,4.2,9.5,75.1,204.9,100,4121853297
55620,1987,2.6257e-05,0.989423,2.93371e-05,0.175004,0.242649,0.1,5.1,14.7,75.5,206.8,48,2.05368e-05,0.978662,2.25486e-05,0.110453,0.427146,0.1,4.3,9.4,80.5,217.5,32,7.41291e-06,0.840786,7.66857e-06,0.103799,0.835274,0.0,4.5,11.1,76.4,207.1,100,4121853297
55622,1980,2.54963e-05,0.989233,2.90514e-05,0.205803,0.258638,0.4,6.2,12.6,77.2,207.9,51,1.94495e-05,0.981558,2.19086e-05,0.138054,0.441522,0.2,4.6,11.7,75.8,208.9,19,8.19418e-06,0.840354,8.37714e-06,0.094046,0.819959,0.0,3.9,10.9,75.5,205.0,100,4121853297
