Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,4908,2.37784e-05,0.991312,2.64457e-05,0.287995,0.296066,0.5,5.0,7.9,64.8,204.3,100,3928537667
54002,4950,2.40868e-05,0.991322,2.70171e-05,0.39779,0.252711,0.5,6.1,8.8,65.1,205.8,100,3928537667
54004,4902,2.35294e-05,0.991412,2.71657e-05,0.324424,0.268797,0.1,6.7,7.8,68.1,202.0,100,3928537667
54006,4918,2.38698e-05,0.991398,2.60914e-05,0.225318,0.284015,0.4,5.8,8.1,61.1,201.6,100,3928537667
54008,4984,2.31662e-05,0.991427,2.74286e-05,0.175154,0.238214,0.0,6.2,9.7,67.0,206.3,100,3928537667
54010,4975,2.44112e-05,0.991292,2.59314e-05,0.212982,0.281452,0.1,6.2,8.3,64.3,205.3,100,3928537667
54012,5005,2.43427e-05,0.991246,2.64e-05,0.251682,0.304829,0.2,4.3,8.6,65.8,213.0,100,3928537667
54014,4979,2.41713e-05,0.991241,2.66057e-05,0.417216,0.269975,0.4,6.7,8.3,63.1,207.4,100,3928537667
54016,4938,2.37647e-05,0.991162,2.72343e-05,0.191605,0.259031,0.2,5.0,8.0,62.4,204.9,100,3928537667
54018,4907,2.40366e-05,0.991207,2.62514e-05,0.266378,0.267397,0.2,5.1,8.0,63.6,207.8,100,3928537667
54020,5005,2.46579e-05,0.991227,2.66286e-05,0.206863,0.28939,0.2,6.7,6.6,66.7,208.6,100,3928537667
54022,4932,2.38195e-05,0.991142,2.71086e-05,0.147911,0.250706,0.0,4.8,6.7,63.8,213.3,100,3928537667
54024,4938,2.33512e-05,0.991154,2.72457e-05,0.197273,0.286728,0.2,5.7,8.9,65.7,207.2,100,3928537667
54026,4928,2.50942e-05,0.99112,2.65486e-05,0.285682,0.312251,0.3,5.8,7.0,60.8,208.0,100,3928537667
54028,4971,2.40228e-05,0.991169,2.67086e-05,0.183933,0.247905,0.1,5.3,7.4,66.2,208.1,100,3928537667
54030,4961,2.46191e-05,0.991091,2.648e-05,0.167997,0.282018,0.2,4.9,8.3,66.8,204.4,100,3928537667
54032,4986,2.3703e-05,0.991134,2.64114e-05,0.175432,0.286606,0.2,4.8,9.7,66.7,209.5,100,3928537667
54034,4949,2.45848e-05,0.991177,2.79657e-05,0.225165,0.27391,0.1,5.1,8.8,68.1,206.7,100,3928537667
54036,4928,2.33649e-05,0.991229,2.65829e-05,0.155046,0.251131,0.0,4.7,8.4,66.3,211.1,100,3928537667
54038,4947,2.33238e-05,0.991259,2.61829e-05,0.171628,0.297338,0.1,5.0,8.7,63.0,211.2,100,3928537667
54040,4922,2.44409e-05,0.991152,2.63543e-05,0.16723,0.299538,0.1,4.9,7.0,61.3,207.7,100,3928537667
54042,4934,2.40891e-05,0.991234,2.73486e-05,0.188814,0.276256,0.2,4.8,7.2,62.5,209.9,100,3928537667
54044,4923,2.42079e-05,0.991275,2.76114e-05,0.206717,0.244852,0.3,5.7,7.5,69.5,207.3,100,3928537667
54046,5014,2.4731e-05,0.991298,2.728e-05,0.33953,0.261567,0.6,7.1,7.7,62.4,210.9,100,3928537667
54048,4990,2.38538e-05,0.991315,2.71886e-05,0.18977,0.28486,0.1,6.2,8.2,63.8,214.2,100,3928537667
54050,4928,2.41325e-05,0.991261,2.712e-05,0.191822,0.266367,0.2,4.5,9.6,64.2,208.2,100,3928537667
54052,4917,2.41668e-05,0.991417,2.64343e-05,0.185134,0.264217,0.4,4.7,7.0,61.8,203.7,100,3928537667
54054,4896,2.34792e-05,0.991467,2.69257e-05,0.31756,0.294656,0.3,5.7,8.5,67.3,210.3,100,3928537667
54056,4992,2.48041e-05,0.991399,2.65943e-05,0.210928,0.296684,0.4,5.8,8.4,61.6,203.0,100,3928537667
54058,5020,2.43221e-05,0.991252,2.75543e-05,0.337355,0.278975,0.4,5.7,8.7,67.7,207.9,100,3928537667
54060,4938,2.44112e-05,0.99137,2.64e-05,0.203849,0.261051,0.2,4.9,8.2,66.3,203.4,100,3928537667
54062,4942,2.41462e-05,0.991263,2.66857e-05,0.190273,0.281137,0.1,5.9,9.8,61.0,204.5,100,3928537667
54064,4947,2.40731e-05,0.991234,2.64914e-05,0.239038,0.290055,0.4,5.8,6.5,62.0,208.8,100,3928537667
54066,5009,2.3566e-05,0.991151,2.73257e-05,0.211674,0.264073,0.2,5.3,9.0,64.3,211.8,100,3928537667
54068,4959,2.4249e-05,0.991176,2.64343e-05,0.210825,0.27865,0.3,5.6,7.7,68.4,209.6,100,3928537667
54070,4974,2.51285e-05,0.991235,2.67086e-05,0.24211,0.279944,0.3,6.0,8.8,65.6,206.8,100,3928537667
54072,4925,2.34951e-05,0.991249,2.66514e-05,0.377456,0.287747,0.6,7.5,7.7,62.9,211.5,100,3928537667
54074,5005,2.44455e-05,0.991352,2.59657e-05,0.192727,0.323115,0.1,5.3,8.3,59.3,202.6,100,3928537667
54076,4906,2.36231e-05,0.991209,2.67314e-05,0.268376,0.247172,0.3,5.3,9.8,67.2,209.4,100,3928537667
54078,4967,2.47013e-05,0.99106,2.67086e-05,0.189223,0.260759,0.2,5.9,8.4,64.5,207.7,100,3928537667
54080,4911,2.41599e-05,0.991152,2.72457e-05,0.285804,0.257474,0.1,6.1,7.7,64.8,210.0,100,3928537667
54082,4966,2.36756e-05,0.991086,2.61714e-05,0.215037,0.308248,0.1,6.3,7.6,62.0,207.1,100,3928537667
54084,4909,2.47698e-05,0.991136,2.61486e-05,0.302865,0.286316,0.6,6.9,7.3,62.8,208.7,100,3928537667
54086,4948,2.37967e-05,0.991116,2.60114e-05,0.275213,0.268087,0.2,4.8,9.7,58.7,206.5,100,3928537667
54088,4951,2.45711e-05,0.991145,2.68114e-05,0.213809,0.303126,0.2,5.8,8.8,60.8,211.0,100,3928537667
54090,5003,2.42284e-05,0.991142,2.54171e-05,0.206928,0.300225,0.2,4.7,8.6,62.9,203.0,100,3928537667
54092,4950,2.30794e-05,0.991195,2.56914e-05,0.274979,0.292465,0.3,4.3,7.8,64.2,204.0,100,3928537667
54094,5010,2.45003e-05,0.991292,2.752e-05,0.321019,0.27256,0.5,5.8,8.6,66.9,212.1,100,3928537667
54096,4916,2.32553e-05,0.991181,2.64914e-05,0.388646,0.281952,0.6,6.5,6.6,63.8,212.1,100,3928537667
