Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,4935,2.41987e-05,0.991242,2.57257e-05,0.227479,0.285843,0.1,4.3,9.3,72.0,190.6,100,3762713418
54002,4988,2.35089e-05,0.99125,2.61943e-05,0.294222,0.271778,0.4,6.1,8.4,73.4,197.4,100,3762713418
54004,4980,2.33489e-05,0.991225,2.65486e-05,0.176344,0.254454,0.2,5.1,8.9,71.9,192.6,100,3762713418
54006,4995,2.38744e-05,0.991028,2.62514e-05,0.198268,0.266146,0.2,5.6,6.9,75.0,194.2,100,3762713418
54008,4958,2.25722e-05,0.991148,2.58286e-05,0.474554,0.292101,0.7,7.2,9.2,73.5,193.5,100,3762713418
54010,4974,2.33992e-05,0.99126,2.57029e-05,0.390468,0.283051,0.4,5.6,9.0,75.6,192.4,100,3762713418
54012,5014,2.4297e-05,0.991296,2.62857e-05,0.233946,0.276486,0.4,5.7,8.3,73.3,192.8,100,3762713418
54014,4985,2.28601e-05,0.991278,2.72686e-05,0.308616,0.239285,0.4,5.9,7.7,78.5,200.8,100,3762713418
54016,4966,2.41622e-05,0.991191,2.6e-05,0.326737,0.25725,0.4,6.3,9.3,73.6,188.4,100,3762713418
54018,4938,2.30634e-05,0.991139,2.63543e-05,0.243854,0.270599,0.3,3.7,7.8,72.9,194.8,100,3762713418
54020,4970,2.31753e-05,0.991087,2.53486e-05,0.165786,0.291067,0.2,4.2,10.4,71.7,196.5,100,3762713418
54022,5000,2.34837e-05,0.990985,2.61486e-05,0.319206,0.267628,0.6,4.5,7.5,74.1,189.7,100,3762713418
54024,4957,2.36619e-05,0.990976,2.57257e-05,0.228631,0.260543,0.4,5.9,8.5,75.1,191.3,100,3762713418
54026,4969,2.36688e-05,0.990975,2.65829e-05,0.402774,0.249037,0.5,4.8,9.5,75.0,199.2,100,3762713418
54028,4955,2.38949e-05,0.990973,2.72457e-05,0.285462,0.248039,0.5,6.8,9.1,73.6,193.5,100,3762713418
54030,4951,2.35203e-05,0.990952,2.65257e-05,0.326716,0.26577,0.8,4.9,7.8,76.1,195.4,100,3762713418
54032,4974,2.36642e-05,0.990903,2.592e-05,0.199442,0.257436,0.5,4.8,8.6,71.9,194.9,100,3762713418
54034,4929,2.32621e-05,0.990935,2.56457e-05,0.333364,0.280398,0.6,5.9,8.6,73.2,191.4,100,3762713418
54036,4924,2.34038e-05,0.99094,2.55314e-05,0.386715,0.271199,0.4,5.1,8.5,73.2,193.0,100,3762713418
54038,4888,2.41165e-05,0.991078,2.648e-05,0.283509,0.269409,0.3,6.3,8.4,70.6,194.9,100,3762713418
