Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,5007,2.53113e-05,0.991771,2.736e-05,0.264804,0.243184,0.4,4.6,8.9,55.8,205.5,100,373259821
54002,4943,2.42444e-05,0.991707,2.66286e-05,0.238657,0.263487,0.7,5.6,9.3,59.7,203.1,100,373259821
54004,4978,2.38995e-05,0.991636,2.70629e-05,0.284528,0.251513,0.5,4.3,10.5,57.2,201.4,100,373259821
54006,4992,2.45186e-05,0.991611,2.73943e-05,0.173054,0.249367,0.3,4.8,9.6,62.1,203.9,100,373259821
54008,5009,2.46214e-05,0.991608,2.66857e-05,0.235365,0.271295,0.2,4.2,9.9,57.3,207.2,100,373259821
54010,5019,2.4811e-05,0.99162,2.70971e-05,0.203783,0.232356,0.4,5.1,11.2,58.4,204.5,100,373259821
54012,4985,2.42444e-05,0.991649,2.736e-05,0.249354,0.257503,0.2,5.5,9.2,57.9,207.4,100,373259821
54014,4972,2.4932e-05,0.991653,2.82743e-05,0.403379,0.221553,0.9,4.6,9.9,55.5,216.3,100,373259821
54016,4991,2.41279e-05,0.991654,2.71771e-05,0.217428,0.241763,0.9,4.8,11.3,56.4,206.9,100,373259821
54018,4970,2.46305e-05,0.991621,2.64914e-05,0.157237,0.261992,0.3,4.7,8.9,59.2,203.8,100,373259821
54020,4996,2.40868e-05,0.991601,2.66743e-05,0.149892,0.258956,0.3,4.1,9.2,57.7,208.0,100,373259821
54022,5001,2.46099e-05,0.99174,2.69257e-05,0.218261,0.249697,0.6,5.7,9.6,58.2,204.2,100,373259821
54024,4989,2.35248e-05,0.991785,2.67886e-05,0.189604,0.241405,0.3,5.3,9.5,60.4,203.4,100,373259821
54026,4900,2.45186e-05,0.99181,2.70514e-05,0.252677,0.258093,0.7,5.9,8.7,55.6,202.2,100,373259821
54028,4972,2.44752e-05,0.991828,2.68229e-05,0.263819,0.275227,0.4,5.2,10.5,57.2,202.2,100,373259821
54030,4973,2.47858e-05,0.991741,2.74057e-05,0.179049,0.242572,0.5,4.5,10.1,55.8,211.4,100,373259821
54032,4924,2.50394e-05,0.991759,2.85829e-05,0.187159,0.20795,0.3,5.8,10.3,58.7,206.5,100,373259821
54034,4990,2.39772e-05,0.991745,2.768e-05,0.229416,0.254523,0.3,3.8,10.2,55.6,210.6,100,373259821
