Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,4924,2.28943e-05,0.991856,2.6e-05,0.150502,0.249356,0.0,4.6,9.0,52.8,182.4,100,2675791135
54002,4959,2.35363e-05,0.991933,2.512e-05,0.181223,0.28512,0.3,6.1,8.4,56.0,177.7,100,2675791135
54004,4961,2.32393e-05,0.991824,2.64343e-05,0.294393,0.243631,0.2,6.1,10.0,53.8,183.8,100,2675791135
54006,5005,2.28532e-05,0.991832,2.62857e-05,0.205871,0.254037,0.3,5.7,8.3,55.7,178.5,100,2675791135
54008,4966,2.22479e-05,0.991778,2.65257e-05,0.189957,0.241592,0.1,6.0,7.8,53.3,188.9,100,2675791135
54010,4992,2.33261e-05,0.991757,2.57486e-05,0.134502,0.277587,0.0,5.1,8.9,55.6,187.1,100,2675791135
54012,4937,2.36505e-05,0.991554,2.64e-05,0.152325,0.2659,0.2,5.1,8.7,53.4,181.1,100,2675791135
54014,4910,2.42536e-05,0.991543,2.59771e-05,0.19773,0.277513,0.2,5.8,9.8,56.4,181.5,100,2675791135
54016,5039,2.33055e-05,0.991559,2.656e-05,0.206121,0.258798,0.2,6.8,9.3,54.5,186.4,100,2675791135
54018,4989,2.3269e-05,0.991622,2.62057e-05,0.190958,0.27917,0.4,4.4,7.7,57.4,184.2,100,2675791135
54020,4981,2.31182e-05,0.991762,2.68457e-05,0.149116,0.246349,0.2,4.8,10.0,54.7,189.1,100,2675791135
54022,4947,2.4233e-05,0.991727,2.62286e-05,0.208074,0.265431,0.2,5.8,10.1,54.0,184.6,100,2675791135
54024,4948,2.33078e-05,0.991695,2.58171e-05,0.190758,0.275826,0.3,5.7,10.9,55.8,179.7,100,2675791135
54026,4912,2.30406e-05,0.991783,2.52914e-05,0.157894,0.317035,0.1,5.8,8.6,49.6,181.4,100,2675791135
54028,4921,2.32553e-05,0.991825,2.69029e-05,0.188689,0.233029,0.1,5.9,9.6,55.1,187.6,100,2675791135
54030,4941,2.30063e-05,0.991611,2.64114e-05,0.2576,0.261214,0.5,5.7,9.5,55.8,183.9,100,2675791135
54032,4963,2.34586e-05,0.991596,2.60686e-05,0.1737,0.2556,0.3,4.8,8.5,54.7,185.0,100,2675791135
54034,4952,2.41279e-05,0.991588,2.64e-05,0.177856,0.25208,0.1,5.6,10.0,54.1,181.6,100,2675791135
54036,4954,2.33398e-05,0.991734,2.60229e-05,0.208745,0.258076,0.2,6.8,7.6,53.7,185.5,100,2675791135
54038,4993,2.3534e-05,0.991753,2.64457e-05,0.158065,0.246839,0.3,4.6,9.8,52.7,185.7,100,2675791135
54040,4976,2.3815e-05,0.991892,2.62514e-05,0.108254,0.283393,0.0,4.4,9.5,55.5,179.5,100,2675791135
54042,4985,2.29994e-05,0.991982,2.59543e-05,0.155799,0.256363,0.1,5.3,10.0,52.8,186.0,100,2675791135
54044,4924,2.39246e-05,0.991866,2.60571e-05,0.192632,0.263534,0.3,5.5,8.3,54.1,181.9,100,2675791135
54046,5029,2.33764e-05,0.991942,2.568e-05,0.200043,0.269915,0.1,6.7,8.2,53.3,179.5,100,2675791135
54048,4988,2.26728e-05,0.991879,2.59429e-05,0.159046,0.256797,0.0,4.7,9.0,52.2,183.1,100,2675791135
54050,4992,2.31639e-05,0.9919,2.65257e-05,0.194039,0.260766,0.6,4.8,9.3,56.2,185.3,100,2675791135
