Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1993,2.3534e-05,0.990892,2.67314e-05,0.227903,0.284581,0.2,4.3,9.3,62.5,218.9,80,2.23849e-05,0.978144,2.18171e-05,0.150213,0.446774,0.2,5.3,14.3,60.8,233.0,21,1.3944e-05,1.1891,1.66057e-05,0.0715545,0.604953,0.0,2.5,5.7,59.4,226.2,100,4056765134
55606,2017,2.49412e-05,0.99102,2.79086e-05,0.288273,0.251715,0.5,4.4,9.5,63.2,221.6,99,2.098e-05,0.979321,2.39771e-05,0.180445,0.383398,0.3,5.2,14.1,62.5,226.6,33,1.37339e-05,1.18179,1.66743e-05,0.089956,0.601769,0.1,3.0,5.1,59.1,229.1,100,4056765134
55608,1995,2.53067e-05,0.990892,2.664e-05,0.128626,0.247897,0.1,3.8,9.4,64.2,214.2,92,2.16311e-05,0.975611,2.13486e-05,0.125733,0.461029,0.0,5.8,14.0,62.5,233.7,30,1.51708e-05,1.15048,1.62057e-05,0.0473493,0.604551,0.0,2.1,6.0,63.7,221.4,100,4056765134
55610,1975,2.506e-05,0.990656,2.78286e-05,0.151732,0.275723,0.2,4.4,8.9,65.7,221.0,90,2.09023e-05,0.977185,2.256e-05,0.151048,0.410291,0.4,4.3,14.2,61.8,230.8,31,1.40902e-05,1.22764,1.51086e-05,0.0566044,0.644032,0.0,2.2,5.6,59.1,229.1,100,4056765134
55612,1953,2.34038e-05,0.990761,2.71886e-05,0.14574,0.267166,0.1,5.1,8.1,64.6,218.4,102,2.07036e-05,0.980004,2.38286e-05,0.173482,0.379636,0.1,5.0,14.2,60.8,227.1,35,1.2313e-05,0.950456,1.69143e-05,0.109427,0.588527,0.4,2.3,4.7,59.4,229.2,100,4056765134
55614,2008,2.51011e-05,0.990686,2.76571e-05,0.16486,0.25804,0.1,5.7,8.5,63.6,216.6,100,2.16973e-05,0.980759,2.37257e-05,0.137158,0.386203,0.1,5.4,13.1,61.2,228.8,31,1.22193e-05,0.956583,1.49714e-05,0.116345,0.655361,0.4,2.4,5.9,57.7,234.7,100,4056765134
55616,1954,2.3783e-05,0.990695,2.77371e-05,0.220509,0.255912,0.4,5.7,8.6,67.2,219.0,105,2.05962e-05,0.981045,2.25943e-05,0.128545,0.417108,0.0,5.3,12.8,59.0,229.0,16,1.22102e-05,1.15987,1.58286e-05,0.170736,0.638632,0.8,3.7,4.7,61.8,232.1,100,4056765134
55618,1962,2.3438e-05,0.990508,2.74286e-05,0.18142,0.246414,0.1,5.1,10.4,61.1,219.3,99,2.07561e-05,0.979703,2.36229e-05,0.135519,0.378244,0.2,4.2,12.3,61.5,227.5,14,1.21553e-05,1.07611,1.36571e-05,0.143818,0.69221,0.9,3.6,4.4,61.4,230.4,100,4056765134
55620,1962,2.52107e-05,0.99056,2.77714e-05,0.214402,0.264939,0.3,6.5,8.2,69.4,224.8,98,2.13729e-05,0.979822,2.30857e-05,0.133316,0.414325,0.0,5.6,12.8,61.0,222.5,27,1.18035e-05,1.11446,1.59543e-05,0.253625,0.642479,1.0,4.8,6.0,60.5,230.4,100,4056765134
55622,1970,2.36345e-05,0.990434,2.62171e-05,0.106603,0.266369,0.0,4.1,8.1,61.7,213.5,97,2.09846e-05,0.980322,2.36229e-05,0.166818,0.40543,0.1,5.9,13.1,63.7,231.9,15,1.16368e-05,1.13654,1.50171e-05,0.171267,0.662022,0.8,3.5,4.9,58.9,231.3,100,4056765134
55624,1935,2.39475e-05,0.990523,2.70743e-05,0.196879,0.264768,0.2,4.7,9.0,64.7,214.7,93,2.06693e-05,0.980521,2.33714e-05,0.155119,0.408014,0.1,5.1,14.0,61.7,231.6,26,9.45745e-06,0.909048,1.128e-05,0.128641,0.773592,0.5,2.2,3.7,57.4,236.2,100,4056765134
55626,1967,2.43244e-05,0.990729,2.712e-05,0.193293,0.273138,0.3,4.5,9.8,62.9,221.9,99,2.10463e-05,0.980037,2.34514e-05,0.124968,0.394707,0.1,4.6,14.3,59.3,227.6,25,7.84923e-06,0.849636,9.15429e-06,0.218248,0.827824,1.7,3.9,3.2,56.3,238.4,100,4056765134
55628,1989,2.44523e-05,0.990574,2.72229e-05,0.169568,0.273287,0.1,4.6,9.0,64.5,217.2,101,2.1261e-05,0.981257,2.376e-05,0.141984,0.403485,0.1,5.2,12.8,60.4,229.8,24,7.82182e-06,0.828791,9.06286e-06,0.165598,0.830618,0.9,3.0,2.9,57.2,237.2,100,4056765134
