Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1988,2.45825e-05,0.991023,2.77371e-05,0.204581,0.235074,0.3,5.9,9.3,68.5,201.0,46,2.17339e-05,0.989887,2.18286e-05,0.0852867,0.427943,0.0,2.9,11.0,73.1,207.6,25,1.35397e-05,0.847431,1.52e-05,0.0687474,0.616698,0.0,3.4,14.6,56.8,215.2,100,2060230474
55606,1958,2.44455e-05,0.990959,2.79543e-05,0.122563,0.237575,0.2,3.6,8.3,69.8,211.6,50,2.01873e-05,0.989785,2.35429e-05,0.0916508,0.373437,0.0,2.7,9.2,73.6,210.3,22,1.29138e-05,0.832515,1.48571e-05,0.0967012,0.619322,0.2,3.8,14.9,57.5,214.6,100,2060230474
55608,1979,2.39589e-05,0.990987,2.77829e-05,0.154946,0.26158,0.1,5.1,10.0,72.2,209.6,50,2.10463e-05,0.990305,2.36914e-05,0.099617,0.398086,0.0,3.7,10.3,73.6,208.6,29,1.22467e-05,0.841198,1.53486e-05,0.0755153,0.604289,0.1,3.8,13.8,59.5,214.1,100,2060230474
55610,1999,2.42696e-05,0.991044,2.75314e-05,0.266009,0.239299,0.3,4.6,8.3,68.6,206.5,44,2.09389e-05,0.990461,2.11543e-05,0.109235,0.463377,0.0,3.4,10.8,69.4,210.0,24,1.26442e-05,0.833426,1.24343e-05,0.1047,0.703992,0.3,4.4,13.2,56.8,216.6,100,2060230474
55612,1983,2.46876e-05,0.991222,2.71771e-05,0.117508,0.259572,0.1,3.8,9.0,73.0,202.2,56,1.96094e-05,0.990709,2.32229e-05,0.127277,0.397176,0.0,4.0,11.4,68.6,209.0,28,1.23678e-05,0.842101,1.36914e-05,0.142389,0.660137,0.4,4.6,13.1,60.0,215.9,100,2060230474
55614,2015,2.43061e-05,0.99126,2.71086e-05,0.122814,0.265618,0.1,4.2,9.6,67.7,208.0,48,1.9751e-05,0.989692,2.42514e-05,0.106626,0.374257,0.0,2.9,9.3,74.9,217.8,24,1.13375e-05,0.830091,1.27886e-05,0.0655368,0.692814,0.0,4.2,13.1,56.3,218.2,100,2060230474
55616,2020,2.49572e-05,0.991297,2.82057e-05,0.18663,0.241921,0.5,5.4,11.0,70.6,211.6,46,2.10554e-05,0.989324,2.30057e-05,0.0917008,0.385536,0.0,2.6,10.4,69.8,213.3,26,1.16071e-05,0.835064,1.24914e-05,0.0869031,0.708881,0.1,4.5,13.8,57.5,215.9,100,2060230474
55618,1991,2.48361e-05,0.99143,2.69371e-05,0.146966,0.256551,0.1,4.5,10.5,64.9,203.3,50,2.00114e-05,0.991029,2.40571e-05,0.118601,0.373034,0.0,3.8,10.9,71.2,217.7,25,1.10908e-05,0.844709,1.19086e-05,0.0996616,0.729118,0.1,4.9,14.4,55.9,216.0,100,2060230474
55620,1997,2.49366e-05,0.99121,2.74286e-05,0.237945,0.233775,0.2,4.6,9.0,71.1,207.0,47,2.20811e-05,0.991226,2.42857e-05,0.112935,0.369279,0.0,3.4,11.9,68.5,208.8,35,9.99429e-06,0.907785,1.29829e-05,0.081893,0.676022,0.1,4.8,13.9,57.6,216.6,100,2060230474
55622,1961,2.5293e-05,0.991337,2.816e-05,0.27315,0.247429,0.5,5.3,9.3,69.5,211.4,47,2.08475e-05,0.989594,2.18286e-05,0.103962,0.438102,0.0,3.5,9.7,73.9,210.8,28,8.3518e-06,0.922638,1.31314e-05,0.125623,0.665719,0.4,5.2,14.9,57.6,221.1,100,2060230474
55624,1962,2.49754e-05,0.991477,2.69486e-05,0.284003,0.2505,0.3,5.5,8.8,70.5,205.2,50,2.14917e-05,0.989036,2.51886e-05,0.128115,0.32186,0.0,4.0,11.0,73.0,216.5,26,1.08007e-05,1.10458,1.248e-05,0.0968772,0.708542,0.3,4.9,15.8,57.6,218.7,100,2060230474
55626,2029,2.40548e-05,0.991365,2.68e-05,0.221667,0.278818,0.4,5.8,10.3,65.6,204.1,51,2.10074e-05,0.98905,2.32343e-05,0.134759,0.420249,0.0,4.9,11.3,68.8,213.3,29,1.05403e-05,1.23513,1.29143e-05,0.103795,0.691409,0.1,4.5,16.5,57.1,221.9,100,2060230474
55628,1965,2.47698e-05,0.991386,2.74857e-05,0.146291,0.26389,0.2,4.4,8.7,69.2,201.6,49,2.19737e-05,0.989241,2.44114e-05,0.122554,0.378121,0.0,4.0,11.7,73.4,210.1,18,1.05448e-05,1.14516,1.13486e-05,0.0932033,0.717687,0.2,4.6,16.8,57.5,215.9,100,2060230474
55630,1954,2.47333e-05,0.991268,2.72229e-05,0.209376,0.248607,0.3,5.8,9.8,71.8,205.1,46,2.11993e-05,0.9892,2.27886e-05,0.106592,0.409554,0.0,3.0,10.1,71.3,209.0,30,9.47116e-06,0.926001,1.12686e-05,0.0762099,0.746034,0.1,3.8,16.1,55.8,213.2,100,2060230474
55632,1942,2.45277e-05,0.991427,2.85714e-05,0.20615,0.240578,0.2,3.7,12.2,70.5,205.5,55,1.95957e-05,0.988806,2.25371e-05,0.109514,0.414636,0.0,3.3,8.4,72.8,205.1,25,8.6739e-06,1.22462,1.03886e-05,0.0601533,0.77385,0.0,4.3,16.6,58.4,218.1,100,2060230474
55634,1965,2.58161e-05,0.991185,2.86171e-05,0.18537,0.237178,0.3,5.3,11.9,71.6,203.9,53,2.08567e-05,0.985232,2.36571e-05,0.103132,0.394389,0.0,3.0,10.9,77.1,215.2,27,8.95717e-06,1.18236,9.92e-06,0.0641446,0.774028,0.0,3.6,18.0,59.5,216.6,100,2060230474
55636,1972,2.45939e-05,0.991087,2.75657e-05,0.170633,0.241362,0.2,4.6,12.0,74.5,209.5,52,2.02216e-05,0.984839,2.31543e-05,0.105417,0.388813,0.0,3.7,9.2,74.9,211.1,16,8.78355e-06,1.14717,1.0e-05,0.0678212,0.772371,0.0,3.9,18.0,59.1,214.5,100,2060230474
55638,2020,2.50577e-05,0.991118,2.696e-05,0.149537,0.280231,0.3,4.0,8.0,68.7,210.1,52,2.02102e-05,0.98096,2.16457e-05,0.0980123,0.451774,0.0,3.8,8.6,74.0,214.1,31,7.68475e-06,0.872246,9.65714e-06,0.0886107,0.760857,0.0,5.3,17.2,59.4,220.2,100,2060230474
55640,1986,2.44249e-05,0.99117,2.75429e-05,0.10703,0.266956,0.2,2.8,9.9,70.6,206.2,53,1.99109e-05,0.979424,2.10743e-05,0.0879481,0.474911,0.0,3.6,9.4,76.0,210.2,17,7.21873e-06,0.847531,7.55429e-06,0.0539221,0.797785,0.0,4.8,16.5,57.2,214.3,100,2060230474
55642,1986,2.4169e-05,0.991124,2.78743e-05,0.131574,0.224413,0.0,4.5,10.0,72.7,207.9,52,2.09549e-05,0.977747,2.23314e-05,0.112807,0.432979,0.0,4.4,8.9,77.6,216.6,23,7.36037e-06,0.835162,7.47429e-06,0.0606551,0.824192,0.0,4.2,16.6,56.4,212.7,100,2060230474
55644,2001,2.52473e-05,0.991091,2.68571e-05,0.152544,0.273131,0.1,5.6,10.4,70.2,202.4,48,2.02947e-05,0.976522,2.16229e-05,0.0862124,0.435903,0.0,4.4,8.2,75.7,210.9,31,5.41862e-06,0.859174,8.12571e-06,0.0467949,0.795208,0.0,3.9,15.7,58.0,213.5,100,2060230474
55646,1969,2.51491e-05,0.991425,2.74514e-05,0.107927,0.243622,0.1,3.1,8.4,71.0,203.6,45,1.99018e-05,0.977182,2.19886e-05,0.144689,0.418051,0.1,5.1,8.9,70.4,208.4,29,5.28155e-06,0.852313,6.52571e-06,0.0432898,0.8408,0.0,4.3,16.7,58.5,215.9,100,2060230474
55648,1988,2.45848e-05,0.9913,2.80457e-05,0.169489,0.256523,0.2,4.9,9.7,70.1,205.8,46,2.01622e-05,0.977959,2.128e-05,0.119398,0.45071,0.0,5.1,8.1,73.1,208.6,28,4.8201e-06,0.879829,5.02857e-06,0.0326164,0.876782,0.0,4.3,16.0,59.1,223.0,100,2060230474
55650,2006,2.45962e-05,0.991421,2.75543e-05,0.109564,0.228028,0.1,3.1,10.1,70.4,201.0,49,1.90565e-05,0.983093,2.336e-05,0.132244,0.399428,0.1,4.4,8.1,76.4,211.2,21,4.25129e-06,1.20971,5.16571e-06,0.0437694,0.879923,0.0,4.4,16.8,58.4,220.5,100,2060230474
55652,1980,2.43221e-05,0.99127,2.75543e-05,0.161581,0.252602,0.3,4.0,10.5,72.3,207.5,50,2.01234e-05,0.984819,2.45029e-05,0.16378,0.36039,0.2,4.6,7.2,77.7,209.0,29,4.93432e-06,1.17516,5.56571e-06,0.0310259,0.867133,0.0,3.8,16.8,58.5,219.5,100,2060230474
55654,1967,2.48452e-05,0.991358,2.70971e-05,0.165156,0.267085,0.3,4.5,8.4,70.5,200.7,51,2.05414e-05,0.986891,2.31771e-05,0.134619,0.404976,0.1,4.5,8.0,79.1,212.9,26,3.61394e-06,1.14201,5.55429e-06,0.0292169,0.853782,0.0,3.8,16.7,58.9,218.8,100,2060230474
55656,1953,2.55762e-05,0.991522,2.78057e-05,0.132378,0.270227,0.0,4.4,8.6,70.5,208.0,54,2.08498e-05,0.987007,2.18171e-05,0.139219,0.433471,0.1,4.4,7.5,81.3,212.0,22,4.37693e-06,0.911978,5.90857e-06,0.0472339,0.865974,0.0,3.8,17.5,59.7,222.4,100,2060230474
55658,1946,2.4827e-05,0.99132,2.71657e-05,0.126763,0.243685,0.2,3.5,9.9,70.4,203.0,47,2.06054e-05,0.985762,2.21143e-05,0.123562,0.410438,0.0,4.1,7.4,76.9,210.7,27,5.00742e-06,1.1388,5.01714e-06,0.0310307,0.886789,0.0,4.7,17.3,58.5,218.1,100,2060230474
55660,1973,2.47242e-05,0.991386,2.82286e-05,0.177686,0.241478,0.3,5.0,8.1,73.4,206.6,50,1.87573e-05,0.987047,2.12914e-05,0.0947499,0.43873,0.0,3.5,7.1,76.8,208.7,22,4.4249e-06,1.09651,5.00571e-06,0.0519802,0.893107,0.0,5.1,16.7,59.8,216.6,100,2060230474
