Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55566,1975,2.36551e-05,0.990231,2.64686e-05,0.245408,0.269663,0.3,3.9,9.1,65.5,196.4,101,1.87938e-05,0.98314,2.30857e-05,0.13365,0.36881,0.0,5.8,7.4,67.1,185.6,10,2.40754e-05,0.99185,2.60457e-05,0.252725,0.262609,0.5,4.9,9.2,66.7,195.4,100,2522662717
55568,1970,2.4064e-05,0.990134,2.68914e-05,0.167849,0.250321,0.1,5.3,7.8,67.0,196.0,113,1.91433e-05,0.984305,2.136e-05,0.118749,0.396959,0.0,5.2,7.4,69.5,180.8,26,2.09572e-05,0.888594,2.58057e-05,0.256022,0.266102,0.4,4.9,7.5,70.8,197.7,100,2522662717
55570,2003,2.41097e-05,0.990169,2.68457e-05,0.233927,0.270155,0.1,5.2,8.6,70.2,197.3,121,2.00069e-05,0.984554,2.04571e-05,0.119205,0.472153,0.0,5.4,7.5,67.8,185.3,26,1.8554e-05,0.861977,2.392e-05,0.141758,0.343385,0.1,4.4,9.2,73.5,190.4,100,2522662717
55572,1957,2.38652e-05,0.990176,2.57029e-05,0.125908,0.293375,0.0,4.6,9.0,68.4,190.3,118,1.99223e-05,0.985185,2.10971e-05,0.0861,0.430167,0.0,4.2,6.3,70.0,191.7,25,2.00754e-05,0.848264,2.22857e-05,0.216121,0.361655,0.3,5.2,8.7,72.9,184.3,100,2522662717
55574,2001,2.36665e-05,0.990103,2.72571e-05,0.149278,0.251288,0.1,5.6,8.6,63.1,199.9,125,1.79258e-05,0.984788,2.11429e-05,0.138026,0.431084,0.0,5.6,6.9,67.5,187.5,21,2.00937e-05,0.847726,2.04e-05,0.134502,0.417625,0.1,5.4,6.9,72.1,186.6,100,2522662717
55576,2006,2.4329e-05,0.990113,2.64571e-05,0.213213,0.258448,0.1,3.5,9.5,65.3,198.4,121,2.08361e-05,0.984531,2.14857e-05,0.12619,0.422269,0.0,5.5,7.6,66.9,189.7,28,1.9084e-05,0.951322,2.26857e-05,0.156313,0.381818,0.2,4.2,7.6,74.3,192.9,100,2522662717
55578,1981,2.36117e-05,0.990165,2.688e-05,0.246089,0.235393,0.1,5.1,6.2,66.6,195.4,130,1.93604e-05,0.985002,2.13486e-05,0.0919576,0.431602,0.0,4.1,8.2,70.7,187.7,25,1.80331e-05,1.21608,1.97943e-05,0.135655,0.4765,0.2,4.1,8.0,65.9,199.7,100,2522662717
55580,1980,2.30748e-05,0.990279,2.67886e-05,0.254032,0.262146,0.2,4.9,8.5,68.7,199.9,110,1.83073e-05,0.98469,2.11886e-05,0.113547,0.459151,0.0,4.8,7.9,72.0,189.8,27,1.6201e-05,0.931144,1.93829e-05,0.136673,0.48014,0.2,4.6,6.2,67.9,196.2,100,2522662717
55582,2000,2.31982e-05,0.990128,2.58743e-05,0.185379,0.284267,0.2,5.5,8.2,65.8,197.6,43,1.90063e-05,0.985622,2.19886e-05,0.107895,0.423761,0.0,5.0,8.1,71.6,182.2,32,1.33387e-05,0.83539,1.59771e-05,0.249212,0.585061,0.8,5.7,6.8,67.5,201.7,100,2522662717
55584,2011,2.28144e-05,0.990251,2.65029e-05,0.163632,0.280272,0.1,5.6,8.3,64.9,190.0,44,1.90246e-05,0.98488,2.03771e-05,0.127322,0.456496,0.0,5.4,7.4,68.0,180.3,20,1.44854e-05,0.828416,1.64229e-05,0.227977,0.569455,0.5,5.4,6.6,68.2,201.9,100,2522662717
55586,1947,2.30999e-05,0.990136,2.64571e-05,0.236905,0.284818,0.3,4.7,9.0,68.3,195.3,46,1.74872e-05,0.984174,2.17143e-05,0.123068,0.421605,0.0,4.4,9.4,70.4,184.3,23,1.04329e-05,0.846655,1.53371e-05,0.202416,0.589325,0.6,5.5,6.2,69.6,200.5,100,2522662717
