Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1999,2.46374e-05,0.991117,2.79086e-05,0.283475,0.216812,0.8,5.6,9.3,58.0,232.1,53,2.21291e-05,0.987183,2.50057e-05,0.148054,0.341626,0.2,3.4,8.8,65.5,230.2,25,1.08921e-05,0.847868,1.40686e-05,0.149223,0.637052,0.3,4.8,9.9,61.8,211.8,100,2109878076
55606,1986,2.47127e-05,0.991201,2.77143e-05,0.156061,0.254947,0.3,4.1,8.3,61.3,227.4,53,2.08338e-05,0.988083,2.34857e-05,0.133389,0.404538,0.2,3.9,9.1,66.6,222.8,25,9.95774e-06,0.831836,1.03086e-05,0.124852,0.760456,0.3,5.3,10.2,62.6,210.3,100,2109878076
55608,1957,2.52519e-05,0.991117,2.84457e-05,0.165941,0.219089,0.2,4.4,8.5,58.1,230.0,48,1.81314e-05,0.988035,2.27543e-05,0.11627,0.415708,0.2,3.3,8.0,67.5,223.8,35,1.07961e-05,0.836758,1.016e-05,0.0357462,0.759119,0.0,4.0,10.5,65.0,213.1,100,2109878076
55610,1980,2.50577e-05,0.991652,2.84e-05,0.306092,0.23677,0.7,4.3,9.8,59.2,225.6,52,2.16242e-05,0.982986,2.28343e-05,0.123248,0.432372,0.3,3.1,6.7,61.0,234.1,23,1.00537e-05,0.835569,1.23657e-05,0.0502171,0.724299,0.0,4.1,9.8,62.0,211.6,100,2109878076
55612,1980,2.50508e-05,0.991552,2.80457e-05,0.575565,0.207221,0.8,4.2,9.7,62.9,221.4,62,2.16882e-05,0.981227,2.32343e-05,0.14564,0.399286,0.4,4.1,8.6,65.2,227.6,31,1.08647e-05,0.843323,1.23429e-05,0.0504954,0.714657,0.0,3.6,9.4,62.6,210.4,100,2109878076
55614,1976,2.51171e-05,0.991362,2.83429e-05,0.208185,0.220185,0.3,5.7,9.0,57.2,231.2,54,2.21359e-05,0.982751,2.53143e-05,0.0920445,0.350529,0.1,3.0,10.5,63.8,234.1,28,9.56025e-06,0.83364,1.28114e-05,0.0423706,0.703498,0.0,3.7,8.5,62.5,207.6,100,2109878076
55616,2006,2.41713e-05,0.991426,2.69371e-05,0.170969,0.242215,0.3,4.6,9.9,56.4,232.2,48,2.04957e-05,0.977754,2.25714e-05,0.0976883,0.424894,0.1,3.6,7.8,62.9,227.7,33,9.99886e-06,0.837086,1.08e-05,0.0449099,0.771441,0.0,4.3,8.5,62.0,211.3,100,2109878076
55618,1986,2.55671e-05,0.991546,2.81714e-05,0.344863,0.232829,0.7,4.7,8.0,60.8,227.0,43,2.06533e-05,0.981407,2.31771e-05,0.0958691,0.436729,0.2,3.0,7.1,64.7,230.8,33,9.95089e-06,0.85983,1.11886e-05,0.0244671,0.757047,0.0,2.7,9.3,60.6,215.9,100,2109878076
55620,1976,2.46533e-05,0.991473,2.79314e-05,0.147488,0.243428,0.3,3.3,10.8,59.5,230.5,48,1.98424e-05,0.982374,2.38857e-05,0.165158,0.405634,0.4,4.5,8.7,62.1,229.9,20,9.49857e-06,0.850631,1.10743e-05,0.0256576,0.764198,0.0,3.0,9.9,61.8,213.1,100,2109878076
55622,1990,2.50371e-05,0.991347,2.82286e-05,0.20455,0.233893,0.6,5.2,9.8,62.5,233.9,49,2.10303e-05,0.983039,2.42286e-05,0.165239,0.379199,0.5,3.5,9.7,62.0,229.2,22,9.00286e-06,0.867831,9.38286e-06,0.0193878,0.809434,0.0,2.9,9.6,63.2,216.5,100,2109878076
55624,1957,2.52724e-05,0.99143,2.816e-05,0.158322,0.22316,0.3,3.9,9.0,61.5,234.4,48,2.14278e-05,0.985895,2.31886e-05,0.137612,0.412401,0.4,2.9,8.6,59.8,235.9,25,8.15077e-06,0.843758,9.98857e-06,0.0254951,0.808769,0.0,3.3,9.8,65.3,219.3,100,2109878076
55626,1978,2.54597e-05,0.991519,2.88343e-05,0.181206,0.220695,0.4,4.7,10.6,58.9,229.9,53,2.10805e-05,0.985413,2.30629e-05,0.093925,0.43726,0.4,3.1,8.0,64.8,231.7,29,5.80011e-06,0.84301,8.68571e-06,0.0194647,0.833654,0.0,2.8,7.2,64.7,214.6,100,2109878076
55628,1965,2.56585e-05,0.991366,2.84457e-05,0.231209,0.223915,0.5,4.7,11.4,60.0,233.4,50,2.05505e-05,0.98353,2.38514e-05,0.14001,0.382264,0.2,4.4,9.4,62.8,232.7,24,6.84866e-06,0.836192,6.97143e-06,0.0141814,0.874368,0.0,2.8,7.2,64.7,215.2,100,2109878076
55630,1991,2.52496e-05,0.99168,2.784e-05,0.150259,0.249173,0.3,4.6,8.9,60.1,228.2,49,2.20331e-05,0.988619,2.32686e-05,0.0927012,0.422995,0.1,2.7,7.4,63.5,230.5,29,6.7687e-06,0.842106,7.64571e-06,0.0108676,0.854066,0.0,2.7,7.6,64.1,216.3,100,2109878076
55632,1982,2.45871e-05,0.991452,2.81829e-05,0.165532,0.229578,0.4,4.1,9.5,58.1,236.9,52,2.04203e-05,0.989355,2.47314e-05,0.207946,0.365568,0.6,3.8,8.2,59.8,226.1,30,5.45745e-06,0.849601,7.30286e-06,0.0102689,0.861202,0.0,2.7,7.1,62.8,220.6,100,2109878076
55634,1992,2.43724e-05,0.991616,2.76457e-05,0.162532,0.220134,0.3,4.3,7.6,60.2,230.0,49,2.20217e-05,0.989176,2.44e-05,0.153994,0.380746,0.5,3.5,8.7,59.7,229.2,32,6.82581e-06,0.86151,6.45714e-06,0.0169751,0.882651,0.0,2.8,7.2,64.2,218.4,100,2109878076
55636,1986,2.50988e-05,0.991495,2.84457e-05,0.163371,0.213205,0.1,4.7,10.6,59.6,230.2,48,2.04089e-05,0.991938,2.47886e-05,0.143968,0.358384,0.4,3.0,8.9,62.1,238.1,27,5.64934e-06,0.858258,8.28571e-06,0.0164317,0.831269,0.0,3.0,7.3,62.2,214.3,100,2109878076
55638,1996,2.4996e-05,0.991577,2.85143e-05,0.166449,0.203191,0.4,4.6,10.1,58.8,228.9,46,2.02353e-05,0.989203,2.47314e-05,0.151925,0.37007,0.5,3.6,8.6,61.1,234.7,21,6.38264e-06,0.849837,6.59429e-06,0.0155862,0.874742,0.0,2.9,6.2,63.1,214.1,100,2109878076
55640,1954,2.48429e-05,0.991837,2.89943e-05,0.195464,0.232469,0.5,4.7,10.7,65.0,233.8,48,2.23232e-05,0.987188,2.45143e-05,0.133685,0.375129,0.5,3.2,8.4,61.2,228.9,27,5.7293e-06,0.838836,6.16e-06,0.0143908,0.879397,0.0,2.8,6.4,64.1,211.5,100,2109878076
55642,1985,2.54049e-05,0.991982,2.68114e-05,0.132303,0.240457,0.2,4.0,8.9,57.2,222.8,57,2.13021e-05,0.988614,2.51771e-05,0.188262,0.349546,0.8,3.9,6.5,61.4,233.3,17,5.49857e-06,0.844044,7.04e-06,0.0135109,0.859115,0.0,2.9,6.7,61.2,213.7,100,2109878076
55644,1992,2.46077e-05,0.991804,2.784e-05,0.249113,0.21351,0.2,4.7,9.4,60.1,228.2,50,2.2972e-05,0.988358,2.39886e-05,0.178129,0.378991,0.6,3.4,7.4,63.2,231.8,27,5.29069e-06,0.857373,6.10286e-06,0.016439,0.887112,0.0,2.9,6.3,60.9,212.4,100,2109878076
55646,1971,2.52907e-05,0.992021,2.87886e-05,0.181827,0.194997,0.3,4.9,10.1,58.8,234.3,50,2.20834e-05,0.987103,2.33029e-05,0.173251,0.406379,0.6,3.0,7.8,60.3,230.8,20,5.62878e-06,0.834097,6.45714e-06,0.0236802,0.875916,0.0,3.3,6.2,60.9,215.7,100,2109878076
55648,1975,2.42901e-05,0.991798,2.65943e-05,0.237787,0.243986,0.7,4.6,10.2,58.2,226.3,46,2.13569e-05,0.990507,2.35771e-05,0.176066,0.403368,0.6,3.1,7.9,62.0,232.7,20,5.84123e-06,0.838142,5.73714e-06,0.0278957,0.886326,0.0,3.7,6.4,63.2,213.2,100,2109878076
55650,1975,2.56174e-05,0.991635,2.728e-05,0.140617,0.248792,0.3,3.6,9.9,56.9,226.5,46,2.21976e-05,0.987107,2.43314e-05,0.130314,0.39791,0.2,3.1,7.2,58.6,231.7,32,5.40034e-06,0.840116,6.98286e-06,0.0382137,0.859043,0.0,3.7,6.1,63.5,215.4,100,2109878076
55652,1966,2.5044e-05,0.9916,2.83771e-05,0.172128,0.225247,0.5,4.4,9.5,60.1,227.7,53,2.32073e-05,0.990494,2.45143e-05,0.197468,0.387576,0.7,4.2,9.1,64.5,234.2,20,5.24272e-06,0.853803,6.59429e-06,0.023616,0.867765,0.0,3.9,6.6,62.9,220.8,100,2109878076
55654,1972,2.53684e-05,0.991588,2.80114e-05,0.204831,0.21086,0.5,4.3,10.0,60.5,231.6,42,2.14437e-05,0.991889,2.47657e-05,0.149204,0.371153,0.3,4.0,7.6,61.8,234.3,26,5.07596e-06,0.844297,6.46857e-06,0.021491,0.880007,0.0,3.6,6.8,63.1,224.0,100,2109878076
55656,1948,2.50257e-05,0.991838,2.92571e-05,0.320433,0.218121,0.7,5.0,10.8,61.3,235.7,52,2.20994e-05,0.993076,2.49029e-05,0.14012,0.36546,0.4,3.4,7.2,63.1,233.8,29,4.56882e-06,0.831277,5.85143e-06,0.0270704,0.885312,0.0,3.9,6.6,61.2,220.2,100,2109878076
