Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1963,2.41828e-05,0.990843,2.71886e-05,0.250938,0.265736,0.5,6.4,8.2,70.2,213.3,53,1.96551e-05,0.975175,2.21714e-05,0.125454,0.431348,0.0,6.6,11.8,58.2,202.5,27,1.07961e-05,0.858204,1.30857e-05,0.308422,0.726775,0.3,4.7,11.7,86.2,197.5,100,3319937540
55606,1947,2.43632e-05,0.990778,2.66286e-05,0.305548,0.279482,0.5,5.4,9.3,66.7,212.3,48,1.80948e-05,0.976869,2.29943e-05,0.134687,0.400796,0.0,5.6,12.4,62.0,209.1,17,8.64877e-06,1.11841,1.104e-05,0.0824706,0.752612,0.0,4.0,9.5,82.2,202.8,100,3319937540
55608,1980,2.34449e-05,0.990745,2.62971e-05,0.163719,0.248022,0.1,4.3,10.6,67.8,210.2,52,2.06122e-05,0.977032,2.12e-05,0.125072,0.457393,0.0,5.8,13.0,59.6,205.0,30,7.84238e-06,1.15058,1.01371e-05,0.086389,0.776677,0.0,5.3,9.6,80.1,205.3,100,3319937540
55610,2012,2.44226e-05,0.990747,2.736e-05,0.185075,0.252971,0.1,5.4,9.5,72.5,218.9,51,1.84694e-05,0.975212,2.07886e-05,0.119452,0.454952,0.0,5.8,13.1,61.6,205.3,20,8.6305e-06,1.1772,9.02857e-06,0.0993736,0.818431,0.0,5.6,9.8,78.4,205.1,100,3319937540
55612,1996,2.43564e-05,0.990814,2.61714e-05,0.191727,0.28069,0.3,4.4,9.1,68.4,211.4,56,2.05049e-05,0.976841,2.14743e-05,0.129332,0.440114,0.0,5.9,12.3,59.3,202.5,25,8.58709e-06,0.925082,1.00229e-05,0.0704698,0.775566,0.0,3.1,8.8,78.4,202.6,100,3319937540
55614,1976,2.38698e-05,0.990645,2.75429e-05,0.207191,0.253958,0.4,4.6,8.7,72.6,216.4,48,1.86065e-05,0.978209,2.14743e-05,0.132664,0.429773,0.0,5.8,10.5,61.6,209.8,17,8.11422e-06,1.15648,9.89714e-06,0.0979135,0.794784,0.0,5.7,10.8,77.8,207.1,100,3319937540
55616,1997,2.43381e-05,0.990342,2.696e-05,0.209012,0.281078,0.2,5.8,8.4,67.5,212.0,52,1.91296e-05,0.979589,2.17486e-05,0.118653,0.443443,0.1,4.8,14.1,59.5,206.2,27,6.04912e-06,0.90692,9.81714e-06,0.0817377,0.811525,0.0,5.7,9.7,83.4,202.2,100,3319937540
55618,1989,2.37327e-05,0.990705,2.656e-05,0.18065,0.27613,0.4,4.2,8.8,70.2,212.3,53,1.83644e-05,0.97836,2.27771e-05,0.163205,0.381142,0.1,7.3,11.6,61.4,207.9,22,7.41291e-06,1.13111,8.36571e-06,0.0741913,0.837835,0.0,4.9,9.7,81.3,205.0,100,3319937540
55620,1994,2.41553e-05,0.990752,2.58171e-05,0.227483,0.322701,0.2,4.4,10.1,70.0,206.8,48,1.8225e-05,0.979524,2.05829e-05,0.117755,0.452696,0.0,5.8,11.9,60.3,202.4,23,6.77327e-06,1.19357,8.18286e-06,0.0528965,0.847109,0.0,3.9,9.8,79.8,204.7,100,3319937540
55622,1965,2.40891e-05,0.99074,2.67543e-05,0.258609,0.272844,0.3,4.5,9.0,72.9,213.9,56,2.08338e-05,0.980557,2.14171e-05,0.145738,0.463569,0.1,4.5,12.8,61.8,209.5,24,7.05654e-06,1.13293,8.49143e-06,0.0826971,0.834905,0.0,4.7,10.2,78.5,205.7,100,3319937540
